"x0, y0, z0","x1, y1, z1","x2, y2, z2","x3, y3, z3","x4, y4, z4","x5, y5, z5","x6, y6, z6","x7, y7, z7","x8, y8, z8","x9, y9, z9","x10, y10, z10","x11, y11, z11","x12, y12, z12","x13, y13, z13","x14, y14, z14","x15, y15, z15","x16, y16, z16","x17, y17, z17","x18, y18, z18","x19, y19, z19","x20, y20, z20"
"[0.4633464813232422, 0.30222630500793457, 1.6038646322158456e-07]","[0.480569064617157, 0.24277392029762268, -0.0011232069227844477]","[0.47530725598335266, 0.18692639470100403, 0.0012753846822306514]","[0.4593242406845093, 0.14781200885772705, 0.001953172031790018]","[0.45005613565444946, 0.11710323393344879, 0.00194742891471833]","[0.4077446460723877, 0.16669145226478577, 0.019328806549310684]","[0.387808233499527, 0.141952782869339, 0.02609509788453579]","[0.37407851219177246, 0.12878106534481049, 0.026226086542010307]","[0.36519449949264526, 0.1234995648264885, 0.024896958842873573]","[0.3850586414337158, 0.19150713086128235, 0.01814866252243519]","[0.36279237270355225, 0.17708304524421692, 0.02334952913224697]","[0.3626278042793274, 0.18533122539520264, 0.0211587343364954]","[0.36824995279312134, 0.19596818089485168, 0.01981476880609989]","[0.3706226050853729, 0.22280609607696533, 0.015843581408262253]","[0.34315502643585205, 0.20827381312847137, 0.016348883509635925]","[0.34108537435531616, 0.21514147520065308, 0.015009090304374695]","[0.3455081880092621, 0.2241632342338562, 0.014285383746027946]","[0.36397597193717957, 0.25842705368995667, 0.013280117884278297]","[0.3317940831184387, 0.2540059983730316, 0.010775218717753887]","[0.31311458349227905, 0.2589365243911743, 0.009776197373867035]","[0.3006688952445984, 0.2657341957092285, 0.010194464586675167]"
"[0.45020511746406555, 0.29384005069732666, 1.3187499803279934e-07]","[0.4734857678413391, 0.23275573551654816, 0.0007733338861726224]","[0.4651564657688141, 0.17873458564281464, 0.005481346510350704]","[0.4480605721473694, 0.1379304826259613, 0.008405787870287895]","[0.4383336901664734, 0.10495305806398392, 0.011167870834469795]","[0.3864240050315857, 0.15850840508937836, 0.028896424919366837]","[0.3662392199039459, 0.12961989641189575, 0.04292936623096466]","[0.3542768359184265, 0.11940787732601166, 0.04697806388139725]","[0.3482389450073242, 0.12003839015960693, 0.04781600460410118]","[0.36397144198417664, 0.18861153721809387, 0.029200809076428413]","[0.3465917408466339, 0.17902173101902008, 0.04245058819651604]","[0.3513559103012085, 0.18703456223011017, 0.041656553745269775]","[0.3592228293418884, 0.19548778235912323, 0.039789773523807526]","[0.35264432430267334, 0.2238379269838333, 0.028599899262189865]","[0.33410173654556274, 0.21538572013378143, 0.03624926507472992]","[0.3370337188243866, 0.22164234519004822, 0.03458720073103905]","[0.3435714542865753, 0.23036842048168182, 0.03197957202792168]","[0.35047248005867004, 0.2582330107688904, 0.02786509320139885]","[0.3258538842201233, 0.25885874032974243, 0.032028861343860626]","[0.3129214644432068, 0.2644423544406891, 0.032025374472141266]","[0.3042392134666443, 0.2715843915939331, 0.03176307678222656]"
"[0.37586817145347595, 0.273410826921463, -2.1488283152848453e-08]","[0.39052441716194153, 0.22666782140731812, -0.01286003552377224]","[0.38789018988609314, 0.17457915842533112, -0.01786152832210064]","[0.3775646686553955, 0.1321617066860199, -0.022206811234354973]","[0.3733091354370117, 0.0989590510725975, -0.025748061016201973]","[0.32831090688705444, 0.17185597121715546, -0.0053364890627563]","[0.31279128789901733, 0.14698955416679382, -0.013846379704773426]","[0.3201834559440613, 0.1542935073375702, -0.020633140578866005]","[0.3320959508419037, 0.1675838828086853, -0.024315079674124718]","[0.3102497458457947, 0.20356279611587524, -0.003678323933854699]","[0.28756165504455566, 0.18802212178707123, -0.0076323142275214195]","[0.2967333197593689, 0.19630464911460876, -0.010717042721807957]","[0.30873388051986694, 0.20548725128173828, -0.013142354786396027]","[0.30217480659484863, 0.23996928334236145, -0.0041643176227808]","[0.2829163670539856, 0.23466706275939941, -0.010061107575893402]","[0.28981196880340576, 0.24087294936180115, -0.010538007132709026]","[0.29999464750289917, 0.2457008957862854, -0.010958506725728512]","[0.3029685914516449, 0.2745145857334137, -0.005742495879530907]","[0.28971871733665466, 0.27925539016723633, -0.009614625945687294]","[0.29668349027633667, 0.282931923866272, -0.00757365208119154]","[0.30584877729415894, 0.28359490633010864, -0.005569064524024725]"
"[0.3992926776409149, 0.3083493411540985, 2.295252556905325e-07]","[0.408174604177475, 0.2352118045091629, 0.006787681020796299]","[0.3930850327014923, 0.17206242680549622, 0.015670018270611763]","[0.37595367431640625, 0.12703314423561096, 0.022390125319361687]","[0.3709118664264679, 0.09010916203260422, 0.029827620834112167]","[0.3308602273464203, 0.17697153985500336, 0.0395800955593586]","[0.3154677152633667, 0.14695464074611664, 0.0539407879114151]","[0.32467806339263916, 0.14755721390247345, 0.056422505527734756]","[0.33503153920173645, 0.15539094805717468, 0.05711882933974266]","[0.3117296099662781, 0.20975255966186523, 0.039882734417915344]","[0.2948431372642517, 0.19104400277137756, 0.05900295823812485]","[0.3041963577270508, 0.19360260665416718, 0.058019477874040604]","[0.31449955701828003, 0.20157288014888763, 0.05485106259584427]","[0.30161407589912415, 0.24760764837265015, 0.03950287401676178]","[0.2880900800228119, 0.2354186475276947, 0.056362200528383255]","[0.2984282374382019, 0.23699460923671722, 0.05828390643000603]","[0.3115171790122986, 0.2413923442363739, 0.05628451332449913]","[0.30136004090309143, 0.2795688509941101, 0.038985129445791245]","[0.2938636243343353, 0.27469751238822937, 0.05460755527019501]","[0.30405449867248535, 0.2758391201496124, 0.062031183391809464]","[0.314449280500412, 0.27756357192993164, 0.06613913178443909]"
"[0.3689148426055908, 0.31039467453956604, 4.7495113619788754e-08]","[0.3865710496902466, 0.24559858441352844, -0.000722105207387358]","[0.38111892342567444, 0.18473869562149048, -3.984525756095536e-05]","[0.3661036491394043, 0.1379401981830597, -0.0007409605314023793]","[0.360409677028656, 0.1017700582742691, -0.0007889230619184673]","[0.3176485002040863, 0.18305732309818268, 0.01407482661306858]","[0.2999304533004761, 0.15475419163703918, 0.017258021980524063]","[0.3118000626564026, 0.1589374542236328, 0.015874894335865974]","[0.3261784315109253, 0.16979192197322845, 0.015015766024589539]","[0.3000616133213043, 0.21564412117004395, 0.014462923631072044]","[0.2860296964645386, 0.19797521829605103, 0.023418372496962547]","[0.2992843687534332, 0.20211701095104218, 0.022825608029961586]","[0.31296616792678833, 0.2118169218301773, 0.020527677610516548]","[0.2917096018791199, 0.2524215579032898, 0.014241339638829231]","[0.2839455306529999, 0.24169114232063293, 0.021842870861291885]","[0.2974950075149536, 0.2434658408164978, 0.023873675614595413]","[0.3119032382965088, 0.2499595582485199, 0.022878218442201614]","[0.2903803288936615, 0.28539082407951355, 0.013596040196716785]","[0.29044389724731445, 0.28008994460105896, 0.020813852548599243]","[0.3031069040298462, 0.28015071153640747, 0.026154479011893272]","[0.3143588900566101, 0.28312110900878906, 0.02949424646794796]"
"[0.35634511709213257, 0.31932011246681213, 1.4707160289617605e-07]","[0.37531930208206177, 0.2566646337509155, -0.004281685221940279]","[0.37003201246261597, 0.19671905040740967, -0.0048222849145531654]","[0.35694682598114014, 0.15104302763938904, -0.00533774308860302]","[0.34921330213546753, 0.11560893803834915, -0.004523704759776592]","[0.3041147291660309, 0.19486995041370392, 0.012084032408893108]","[0.28553831577301025, 0.16231708228588104, 0.020745478570461273]","[0.2962731420993805, 0.1597280204296112, 0.024354534223675728]","[0.3095931112766266, 0.1664624810218811, 0.026484383270144463]","[0.28829267621040344, 0.22623494267463684, 0.01626686379313469]","[0.27909618616104126, 0.2003142088651657, 0.03206051141023636]","[0.29142406582832336, 0.19920578598976135, 0.03593955561518669]","[0.30258843302726746, 0.20536360144615173, 0.03569308668375015]","[0.2821899354457855, 0.2594653367996216, 0.01987261138856411]","[0.28096842765808105, 0.2371862679719925, 0.0345226489007473]","[0.2929747998714447, 0.2341960370540619, 0.038304224610328674]","[0.30444005131721497, 0.23964622616767883, 0.036932241171598434]","[0.2836785912513733, 0.2880859673023224, 0.022625787183642387]","[0.2865546941757202, 0.27093130350112915, 0.03499870374798775]","[0.2964927852153778, 0.269054114818573, 0.041138116270303726]","[0.3048938512802124, 0.2748146057128906, 0.04396306350827217]"
"[0.3476775288581848, 0.34453147649765015, 3.215965307390434e-07]","[0.3658919036388397, 0.2752785086631775, -0.0022333739325404167]","[0.3589397072792053, 0.21297860145568848, 0.0026329169049859047]","[0.3472493588924408, 0.16835080087184906, 0.007138307671993971]","[0.34094327688217163, 0.13074177503585815, 0.012829313054680824]","[0.29854583740234375, 0.21453769505023956, 0.036917056888341904]","[0.28255268931388855, 0.18368582427501678, 0.06031361222267151]","[0.2809109687805176, 0.17195841670036316, 0.07412023842334747]","[0.28308790922164917, 0.1685841828584671, 0.0831194594502449]","[0.28525006771087646, 0.24654237926006317, 0.04455145075917244]","[0.27671870589256287, 0.22101622819900513, 0.07737498730421066]","[0.2823646366596222, 0.21012243628501892, 0.09350535273551941]","[0.2881837785243988, 0.2065519094467163, 0.10325006395578384]","[0.2815842032432556, 0.27883291244506836, 0.05020684376358986]","[0.2766854465007782, 0.25740450620651245, 0.07836929708719254]","[0.28280842304229736, 0.24503806233406067, 0.0928109660744667]","[0.29042452573776245, 0.24215056002140045, 0.10003229230642319]","[0.2848660945892334, 0.30622491240501404, 0.05412653088569641]","[0.2828150689601898, 0.2892691493034363, 0.07641548663377762]","[0.28788435459136963, 0.27859368920326233, 0.08935777097940445]","[0.29335182905197144, 0.27655041217803955, 0.09833861142396927]"
"[0.34442946314811707, 0.36483195424079895, 2.805636540870182e-07]","[0.3621099889278412, 0.2961731255054474, 0.002741864649578929]","[0.35230904817581177, 0.2321801483631134, 0.00961341243237257]","[0.34014809131622314, 0.1886017918586731, 0.015243354253470898]","[0.33450642228126526, 0.15293824672698975, 0.02138357423245907]","[0.2933206260204315, 0.23150508105754852, 0.0362897552549839]","[0.2807743549346924, 0.1995583325624466, 0.0603545643389225]","[0.2759743928909302, 0.18730592727661133, 0.07492218911647797]","[0.2742345631122589, 0.18249957263469696, 0.08419986069202423]","[0.27821192145347595, 0.2630133032798767, 0.0416891984641552]","[0.2696402966976166, 0.23897014558315277, 0.0751475989818573]","[0.2749166488647461, 0.2321184277534485, 0.09140164405107498]","[0.27979493141174316, 0.23205851018428802, 0.10079844295978546]","[0.2739013135433197, 0.29470765590667725, 0.04601605236530304]","[0.26977434754371643, 0.27513977885246277, 0.07521145790815353]","[0.2802187502384186, 0.26859745383262634, 0.08759156614542007]","[0.28928500413894653, 0.2715940773487091, 0.0926876813173294]","[0.2750343680381775, 0.32253414392471313, 0.049203697592020035]","[0.27445319294929504, 0.30874043703079224, 0.07259751111268997]","[0.2827376425266266, 0.3033592700958252, 0.08404523879289627]","[0.28997567296028137, 0.3059792220592499, 0.09120424836874008]"
"[0.35676270723342896, 0.405150443315506, -1.4741722509370447e-07]","[0.3577933609485626, 0.3536565601825714, 0.021779358386993408]","[0.3396330773830414, 0.31645825505256653, 0.029654812067747116]","[0.31621482968330383, 0.29103392362594604, 0.033890336751937866]","[0.2947360575199127, 0.2801707983016968, 0.03647714480757713]","[0.3265373408794403, 0.2914715111255646, 0.006361658219248056]","[0.2855302095413208, 0.25168073177337646, 0.004781307652592659]","[0.2585352659225464, 0.24340222775936127, 0.006969864014536142]","[0.23933766782283783, 0.24279427528381348, 0.009367133490741253]","[0.3158263862133026, 0.3047264814376831, -0.006132261827588081]","[0.2571324110031128, 0.2797774374485016, -0.007614137139171362]","[0.2246946543455124, 0.28213295340538025, -0.005234163254499435]","[0.2041013538837433, 0.2867954969406128, -0.0032267433125525713]","[0.30312401056289673, 0.3272477984428406, -0.01647462509572506]","[0.24670764803886414, 0.3083551526069641, -0.016851946711540222]","[0.21661123633384705, 0.3081682622432709, -0.014417442493140697]","[0.19553056359291077, 0.30749818682670593, -0.01305063720792532]","[0.2909294664859772, 0.3551231324672699, -0.02448662929236889]","[0.24633082747459412, 0.3399779200553894, -0.02612229622900486]","[0.2222096174955368, 0.33417919278144836, -0.024879924952983856]","[0.2038635015487671, 0.32605063915252686, -0.023101376369595528]"
"[0.35406288504600525, 0.4118908941745758, -3.6406171943781374e-07]","[0.33030229806900024, 0.37387412786483765, 0.06402794271707535]","[0.3107181489467621, 0.3460732698440552, 0.09352178126573563]","[0.29080426692962646, 0.3298650085926056, 0.11026814579963684]","[0.2719998061656952, 0.31560954451560974, 0.12403091043233871]","[0.32429757714271545, 0.30270829796791077, 0.06593308597803116]","[0.2885133624076843, 0.2733583450317383, 0.07931196689605713]","[0.2636907994747162, 0.2670767605304718, 0.08666855096817017]","[0.24367579817771912, 0.26754629611968994, 0.09092279523611069]","[0.3196967542171478, 0.3125627636909485, 0.03430410102009773]","[0.2725018560886383, 0.29185760021209717, 0.04589162766933441]","[0.24018335342407227, 0.29050561785697937, 0.050384074449539185]","[0.21576732397079468, 0.29537954926490784, 0.051792439073324203]","[0.3094184696674347, 0.3271279036998749, 0.005472864024341106]","[0.2638014256954193, 0.30563828349113464, 0.012385939247906208]","[0.23042570054531097, 0.30139651894569397, 0.01723932847380638]","[0.20446988940238953, 0.30008167028427124, 0.01865348406136036]","[0.2939852774143219, 0.34351426362991333, -0.018245477229356766]","[0.256596177816391, 0.32258355617523193, -0.01886560581624508]","[0.2318328320980072, 0.3131313920021057, -0.018766680732369423]","[0.2117609679698944, 0.30444908142089844, -0.01888118125498295]"
